S,E,I,R,D
0.7300177547480409,-1.9554335065173602e-07,6.092642788981324e-07,0.9674661935580388,0.4981576169650586
0.7300175396030346,4.3073862102014507e-07,-1.3695379305593796e-06,0.967467473772543,0.4981579044157985
0.7300173960125973,8.513573623644157e-07,-2.6928449075230503e-06,0.9674683282031288,0.4981580962638858
0.7300175363444509,4.502358673376463e-07,-1.4095223432849782e-06,0.9674674931642172,0.4981579087698743
0.730017912737607,-6.273118044533418e-07,2.034197390485977e-06,0.967465253482127,0.4981574058867467
0.7300177386150222,-1.353925922945228e-07,4.476699669663285e-07,0.967466289575498,0.4981576385241719
0.7300174202020968,7.687307162182654e-07,-2.4581111175867632e-06,0.9674681842326472,0.4981580639377238
0.7300177284913968,-1.1023424604761453e-07,3.589147619815499e-07,0.9674663497784228,0.4981576520417311
0.7300177123167327,-6.510054210534464e-08,2.12102564827637e-07,0.9674664460217516,0.4981576736515598
0.7300175532942412,3.869754757232925e-07,-1.2396504208438817e-06,0.967467392259387,0.4981578861133836
0.7300177171274255,-7.969665699893962e-08,2.5696291871873894e-07,0.9674664173782408,0.4981576672201388
0.7300176919754777,-8.322081593118136e-09,2.74714220891997e-08,0.9674665670425042,0.4981577008247442
0.7300176235282271,1.863674779812018e-07,-5.975087570024642e-07,0.9674669743306402,0.4981577922744784
0.7300177181879278,-8.314683083207985e-08,2.670869216182632e-07,0.9674664110620944,0.4981576658019538
0.7300176938299692,-1.3868152265098973e-08,4.4681543928191686e-08,0.967466556002753,0.4981576983459528
0.7300176424408426,1.323692126105411e-07,-4.246136348603734e-07,0.967466861790233,0.4981577670054135
0.7300177168767108,-7.951765100918856e-08,2.55217127418659e-07,0.9674664188624796,0.4981576675533998
0.7300177049794416,-4.566685952634925e-08,1.4657379359677668e-07,0.967466489656646,0.498157683449045
0.7300176427971512,1.3131475728721093e-07,-4.2131813728946084e-07,0.9674668596691384,0.4981577665291572
0.7300177097969711,-5.9391474108796086e-08,1.905851959640476e-07,0.967466460989138,0.4981576770122358
0.7300177230196913,-9.703024328237189e-08,3.113489576805776e-07,0.9674663823079656,0.4981576593456955
0.7300176477927348,1.1708587860358057e-07,-3.7568344418951466e-07,0.9674668299423852,0.4981577598545123
0.7300176880711062,2.4403899115497604e-09,-7.825907097209913e-09,0.9674665902670504,0.4981577060394274
0.7300177406695283,-1.472709141288501e-07,4.7254686353887043e-07,0.9674662772825848,0.498157635764004
0.7300176686418995,5.774030335551676e-08,-1.8526792098122545e-07,0.9674667058795138,0.498157731998271
0.7300176522675123,1.0434595580506445e-07,-3.348104609788996e-07,0.9674668033135962,0.4981577538754634
0.7300177435777646,-1.555500662598952e-07,4.991099995234981e-07,0.9674662599762196,0.4981576318781494
0.7300177016229011,-3.6134414911451415e-08,1.1594406973346749e-07,0.9674665096265568,0.4981576879329542
0.7300176226569584,1.886253035122505e-07,-6.052357806743842e-07,0.9674669795085046,0.4981577934370811
0.7300176569508812,9.101428015414449e-08,-2.920340702260703e-07,0.967466775443317,0.4981577476176587
0.7300176826579916,1.7843941481753958e-08,-5.7254556977615096e-08,0.967466622473781,0.4981577132709096
0.7300177007038987,-3.3520287896786234e-08,1.0755628995366001e-07,0.9674665150920312,0.4981576891601349
0.7300177110886026,-6.307840798147604e-08,2.0239847056775485e-07,0.967466453298067,0.4981576752853345
0.7300177138121032,-7.083041877231543e-08,2.2727198486466962e-07,0.967466437091889,0.4981576716465085
0.7300177088744005,-5.677632026930445e-08,1.821768328444043e-07,0.9674664664734968,0.4981576782436568
0.7300176994020061,-2.9815085378066694e-08,9.566693079778256e-08,0.9674665228386964,0.4981576908995189
0.7300176938927453,-1.413407668776829e-08,4.535163864789735e-08,0.9674665556214272,0.4981576982603324
0.730017689480069,-1.5742763158842032e-09,5.051297687341081e-09,0.9674665818789554,0.4981577041560209
0.7300176861639774,7.864315737585585e-09,-2.523409208388622e-08,0.9674666016112812,0.4981577085865845
0.7300176839444705,1.4181699472641062e-08,-4.5504530665784664e-08,0.9674666148184043,0.4981577115520229
0.7300176828215483,1.7377874889282224e-08,-5.576001805835408e-08,0.9674666215003253,0.4981577130523364
0.7300176827952107,1.7452841987509093e-08,-5.60005542615946e-08,0.9674666216570434,0.4981577130875249
0.7300176838654578,1.4406600767321636e-08,-4.6226139275506176e-08,0.9674666152885592,0.4981577116575883
